split,frac_below_q0.1,frac_below_q0.5,frac_below_q0.9,central_coverage,central_nominal
val,0.11264876833656241,0.4990708157051916,0.8683326084377841,0.7556838401012218,0.8
test,0.14584450402144772,0.5418230563002681,0.8359249329758713,0.6900804289544236,0.8
