trial,hidden,lr,dropout,heads,n_params,epochs,minutes,val_mae_all,val_mae_green,ckpt
b_a3_big,64,0.001,0.2,4,320581,16,14.9,2.237,1.1239,/kaggle/working/hpo/b_a3_big/best.ckpt
b_a5_highlr,32,0.003,0.15,4,85565,15,13.8,2.3322,1.1907,/kaggle/working/hpo/b_a5_highlr/best.ckpt
