feature,mean_abs_shap
CircuitEncoded,7.62812889515605
AirTemp,0.8782820679422811
CompoundEncoded,0.6073850331141515
FuelLoad,0.5172658187566755
TrackTemp,0.46794131904975084
TeamEncoded,0.43233084213219936
NormLapNumber,0.1900814835641815
TyreLife,0.13131704733374053
CompoundXTyreLife,0.12225462644706168
FuelEffect,0.09596439231908906
TyreAgeSq,0.024273084992907385
TyreAgeCubed,0.00023765286169369462
Era,0.0
StintPhase,0.0
