Compound,Era,temp_ref,b_temp,c_temp,b_temp_ci,c_temp_ci,temp_min,temp_max,n_stints,n_laps
HARD,0,36.81,0.0024169566763642255,-4.998900411653055e-05,0.0002552146424644159,7.276751327928013e-06,17.0,55.5,1357,33631
HARD,1,32.18,0.004586303527001297,-2.236163259440758e-05,0.0014885500344560194,4.022226022994896e-05,17.9,37.4,87,2369
INTERMEDIATE,0,24.01,-0.009999999999999998,0.0002909323362447893,0.005628965729194287,0.00022182243108426157,17.0,39.5,210,2731
MEDIUM,0,37.31,0.004322099629111507,-5.409007122080899e-05,0.0003443810242200531,1.0423599561272027e-05,17.0,55.5,1455,27018
MEDIUM,1,31.29,0.006481803447626622,-0.0001066954323061197,0.001240105644103647,3.582094192917222e-05,17.9,37.4,112,2216
SOFT,0,37.85,-0.0013793204458665046,8.273554820053896e-05,0.0007588336995963948,2.9109791439463335e-05,17.0,51.3,665,9585
SOFT,1,27.33,0.009999999999999998,-9.426573566820267e-05,0.003341848885493005,9.927218337067693e-05,17.9,37.4,56,798
WET,0,30.79,0.009999999999999683,0.000205332603821254,0.0882698529692354,0.005522501769503961,25.8,39.5,19,165
